date,time,broad_info,company_info,category
2025.05.12,00:27,[방송에서만] 원핏 제로파우더 알파CD 12박스(240포)(p)신세계쇼핑,신세계쇼핑,식품
2025.05.12,00:31,백종원의 골목식당 소풍온 쭈꾸미 8팩 + 천사마요 1통 | 원산지 : 상품정보 참조SK스토아,SK스토아,식품
2025.05.12,00:32,라이나생명 (무)첫날부터 암보험(갱신형)[신세계상품권 증정]쇼핑엔티,쇼핑엔티,여가/생활편의
2025.05.12,00:38,[2025NEW] 센텔리안24 마데카크림 타이트리프팅GS홈쇼핑 마이샵,GS홈쇼핑 마이샵,화장품/미용
2025.05.12,00:40,[상담예약] 비에스소닉 음파운동기 렌탈롯데원티비,롯데원티비,여가/생활편의
2025.05.12,00:41,흥국화재_흥Good 모두담은 암보험 PLUS(사은품: 종아리발마사지기)KT알파쇼핑,KT알파쇼핑,여가/생활편의
2025.05.12,00:44,꿀고구마1NS홈쇼핑 샵플러스,NS홈쇼핑 샵플러스,식품
2025.05.12,00:55,[온플]카빌리지 신차장기렌터카 비교견적CJ온스타일 플러스,CJ온스타일 플러스,여가/생활편의
2025.05.12,01:00,히트상품 앵콜방송1부NS홈쇼핑,NS홈쇼핑,식품
2025.05.12,01:00,온부기온열부항기기/온바로족저근막의료기기(리빙)현대홈쇼핑,현대홈쇼핑,생활/건강
2025.05.12,01:00,뉴트리코어 PS 3박스(3개월분)GS홈쇼핑,GS홈쇼핑,식품
2025.05.12,01:00,이롬 황성주 국산콩두유(250214)현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,식품
2025.05.12,01:00,24 자연향 부사 보조개(미얀마) 4.5kg공영쇼핑,공영쇼핑,식품
2025.05.12,01:00,[12개월] 1200 12박스 (900mg*60정*12박스)롯데홈쇼핑,롯데홈쇼핑,식품
2025.05.12,01:00,[초특] NEW 아렌시아 아르티장 그린 떡솝 시즌2CJ온스타일,CJ온스타일,화장품/미용
2025.05.12,01:00,[방송에서만 18박스+1박스 더]데이즈온 원데이 알파시클로 덱스트린홈앤쇼핑,홈앤쇼핑,식품
2025.05.12,01:20,[상담예약]☆ 정수기 렌탈(CP-ABS100 / CP-SS100HWS / CP-U011)☆롯데원티비,롯데원티비,여가/생활편의
2025.05.12,01:27,"[런칭가 89,000원 →2만원↓] 에디티드 the NEW 재킷 (25SS)신세계쇼핑",신세계쇼핑,패션의류
2025.05.12,01:31,종근당건강 헬씨칸 밀크씨슬 로얄 10개월분 + 2개월분 더!쇼핑엔티,쇼핑엔티,식품
2025.05.12,01:31,(방송에서만)코지마 복부허리관리기 코지코어맥스 CMT-E103WLSK스토아,SK스토아,디지털/가전
2025.05.12,01:39,자일리톨스톤 8개입 (오리지널4+레몬2+딸기1+졸음캔디1)GS홈쇼핑 마이샵,GS홈쇼핑 마이샵,식품
2025.05.12,01:40,그레인온 골드카무트효소(250421)_기존가현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,식품
2025.05.12,01:44,오토다이렉트카1NS홈쇼핑 샵플러스,NS홈쇼핑 샵플러스,여가/생활편의
2025.05.12,01:55,신영와코루 V44 바디쉐이퍼 패키지CJ온스타일 플러스,CJ온스타일 플러스,패션의류
2025.05.12,02:00,빈트릴 남성 우븐 셔켓 셋업3종GS홈쇼핑,GS홈쇼핑,패션의류
2025.05.12,02:00,[메디필] ★리뷰 시 초대용량 리얼 콜라겐 전문가용 토너 증정★ [명품언니패키지] 메디필 멜라논 엑스 기미 주름완화 앰플 30ml 4+1병롯데홈쇼핑,롯데홈쇼핑,화장품/미용
2025.05.12,02:00,오토다이렉트카2NS홈쇼핑 샵플러스,NS홈쇼핑 샵플러스,여가/생활편의
2025.05.12,02:00,[직] 해운대 암소갈비집 양념갈비 400g*7팩롯데원티비,롯데원티비,식품
