date,time,broad_info,company_info,category
2025.05.01,00:00,보험 2부NS홈쇼핑,NS홈쇼핑,생활/건강
2025.05.01,00:20,남의옷장-인터메조 컴포터블 라운지 수트(250422)현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,패션의류
2025.05.01,00:20,보험 3부NS홈쇼핑,NS홈쇼핑,생활/건강
2025.05.01,00:31,예화담 비단살결 때필링 500ml*3통+폼클렌져+샤워장갑 기본구성SK스토아,SK스토아,화장품/미용
2025.05.01,00:31,(25SS) 올데이 스트레치 7부 팬츠 3종 패키지(남여공용)SK스토아,SK스토아,패션의류
2025.05.01,00:32,안국건강 초임계 알티지오메가3 12개월분쇼핑엔티,쇼핑엔티,식품
2025.05.01,00:37,[최종가] 피트인 코튼인견 브라란쥬 4종신세계쇼핑,신세계쇼핑,패션의류
2025.05.01,00:37,[25신상] 아디다스 로고 올메쉬 드로즈 8종(5차)신세계쇼핑,신세계쇼핑,패션의류
2025.05.01,00:38,[2만원 세일]25SS 최신상 NEW베네핏 퓨징심리스 브라팬티 4세트GS홈쇼핑 마이샵,GS홈쇼핑 마이샵,패션의류
2025.05.01,00:40,[엔엔에프] 25SS 실키 찰랑팬츠 3종_C503롯데원티비,롯데원티비,패션의류
2025.05.01,00:40,보험 4부NS홈쇼핑,NS홈쇼핑,생활/건강
2025.05.01,00:41,라이나생명 (무)첫날부터암보험(갱신형) (신세계상품권 최대 3만원)KT알파쇼핑,KT알파쇼핑,여가/생활편의
2025.05.01,00:43,LX지인창호1NS홈쇼핑 샵플러스,NS홈쇼핑 샵플러스,여가/생활편의
2025.05.01,00:58,메노락토 프리미엄 징코 갱년기유산균 YT1 6개월분+24일분더GS홈쇼핑 마이샵,GS홈쇼핑 마이샵,식품
2025.05.01,01:00,주영엔에스 헤어콜라겐 인텐스 6박스GS홈쇼핑,GS홈쇼핑,식품
2025.05.01,01:00,어반어라운드(패션Lab)현대홈쇼핑,현대홈쇼핑,스포츠/레저
2025.05.01,01:00,"[총3개월분] 마그네틱 노즈밴드 2.0 (코골이 완화 의료기기)(밴드 1SET, 리필 2개월) + [방송에서만] 리필 1개월 더롯데홈쇼핑",롯데홈쇼핑,생활/건강
2025.05.01,01:00,고수록 4종떡세트100개(검정깨두텁떡+콩고물찹쌀떡+생모시두텁떡+검정깨인절미)공영쇼핑,공영쇼핑,식품
2025.05.01,01:00,히트상품 앵콜방송1부NS홈쇼핑,NS홈쇼핑,식품
2025.05.01,01:00,데이즈온 원데이 알파시클로덱스트린(250319)_재편집현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,식품
