date,time,broad_info,company_info,category
2025.04.14,00:02,못난이명란1NS홈쇼핑 샵플러스,NS홈쇼핑 샵플러스,식품
2025.04.14,00:31,(세일)프로메가 알티지오메가3 비타민D 10박스에 3박스 더 | 원산지 : 상품정보 참조SK스토아,SK스토아,식품
2025.04.14,00:32,A[하나손해보험(무)하나 가득담은 3대질환보험] 사은품 포트메리온 5P쇼핑엔티,쇼핑엔티,여가/생활편의
2025.04.14,00:35,AIA생명_건강플러스 암보험_(사은품:포트메리온5P)KT알파쇼핑,KT알파쇼핑,여가/생활편의
2025.04.14,00:38,도미나스 기미 크림 RX 사장님패키지GS홈쇼핑 마이샵,GS홈쇼핑 마이샵,화장품/미용
2025.04.14,00:40,"[핏플랍] ○ (런칭가 139,000원) LF수입정품 우버니트 스니커즈롯데원티비",롯데원티비,패션잡화
2025.04.14,00:55,M12 25SS 여성 USA코튼®100% 스트라이프 티셔츠 5종CJ온스타일 플러스,CJ온스타일 플러스,패션의류
2025.04.14,00:57,"[론칭가 89,000원 →2만원 ↓]에디티드 아틀리에 재킷 (25SS)신세계쇼핑",신세계쇼핑,패션의류
2025.04.14,01:00,살사라진 혈당컷 다이어트 양춘사 24주GS홈쇼핑,GS홈쇼핑,식품
2025.04.14,01:00,푸응 다이어트(240726)▼횟수세일현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,식품
2025.04.14,01:00,리오벨(패션Lab)(재)현대홈쇼핑,현대홈쇼핑,패션의류
2025.04.14,01:00,[조르쥬 레쉬] 25SS 오가닉코튼100 반팔 니트 4종롯데홈쇼핑,롯데홈쇼핑,패션의류
2025.04.14,01:00,"도미솔 왕비포기김치 5kg+열무김치2kg+오이통김치2kg+쪽파갓김치2kg(4종,11kg)공영쇼핑",공영쇼핑,식품
2025.04.14,01:00,[방송에서만 18박스+1박스 더]데이즈온 원데이 알파시클로 덱스트린홈앤쇼핑,홈앤쇼핑,식품
2025.04.14,01:00,SK_냉감사커 침구세트CJ온스타일,CJ온스타일,가구/인테리어
2025.04.14,01:00,히트상품 앵콜방송1부NS홈쇼핑,NS홈쇼핑,식품
2025.04.14,01:03,삼원가든1NS홈쇼핑 샵플러스,NS홈쇼핑 샵플러스,식품
2025.04.14,01:20,[보보 ] 호텔식 일체형 자동 비데 렌탈(자동개폐/물내림)(TCB-9100GA1)롯데원티비,롯데원티비,여가/생활편의
2025.04.14,01:31,전설의 패치 프리미엄 준대형 160매 + 그립 60매 + 미니 120매 (총340매) 스포츠테이핑 운동 테이프SK스토아,SK스토아,생활/건강
2025.04.14,01:36,해초미인 두부면 20봉+비빔10+메밀소바10KT알파쇼핑,KT알파쇼핑,식품
2025.04.14,01:39,컬러에너지 여신의 과일 패션후르츠즙 10박스 (총140포) 유인나GS홈쇼핑 마이샵,GS홈쇼핑 마이샵,식품
2025.04.14,01:40,팔레오 맥주효모 비오틴(250313)_기존가현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,식품
2025.04.14,01:55,[온플]카빌리지 신차장기렌터카 비교견적CJ온스타일 플러스,CJ온스타일 플러스,여가/생활편의
2025.04.14,01:58,[컬러추가]리오벨 faux 레더  케이프 자켓 신세계쇼핑,신세계쇼핑,패션의류
2025.04.14,02:00,[뉴트리원] ●[12박스] 뉴트리원 카무트 브랜드밀 효소 골드롯데원티비,롯데원티비,식품
