date,time,broad_info,company_info,category
2025.04.29,00:00,실크테라피NS홈쇼핑,NS홈쇼핑,화장품/미용
2025.04.29,00:05,[3.1 필립림 스튜디오] 25SS 이집션 GIZA 코튼100 여성 티셔츠 3종롯데홈쇼핑,롯데홈쇼핑,패션의류
2025.04.29,00:31,[방송에서만 1박스 더+앱할인 10프로]원데이 알파시클로덱스트린 알파CD18+1박스(3g*14포*19박스) | 원산지 : 상품정보 참조SK스토아,SK스토아,식품
2025.04.29,00:37,"[론칭가69,900원→2만원↓]  블루핏 데님 셔츠신세계쇼핑",신세계쇼핑,패션의류
2025.04.29,00:38,큐템 끌리올리 리프팅 괄사크림 명품언니패키지 (괄사크림 4개)GS홈쇼핑 마이샵,GS홈쇼핑 마이샵,화장품/미용
2025.04.29,00:40,[LBL] ○25SS 실크캐시미어 라운드넥 7부슬리브니트롯데원티비,롯데원티비,패션의류
2025.04.29,00:41,[김희선유산균]비에날씬(BNR17) 다이어트 유산균 프로 9박스KT알파쇼핑,KT알파쇼핑,식품
2025.04.29,00:43,제스프리키위1NS홈쇼핑 샵플러스,NS홈쇼핑 샵플러스,식품
2025.04.29,00:45,에스떼미알레 플라센타 양태반크림 5개 + 4in1 디바이스 1개CJ온스타일 플러스,CJ온스타일 플러스,화장품/미용
2025.04.29,00:51,[반값세일 + 보조배터리 사은품] 블라우풍트 공기전도 무선 이어폰쇼핑엔티,쇼핑엔티,디지털/가전
2025.04.29,01:00,악마다이어트 슬림컷젤리(250226)▼세일현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,식품
2025.04.29,01:00,히트상품 앵콜방송1부NS홈쇼핑,NS홈쇼핑,식품
2025.04.29,01:00,[불가리아100%] 오가닉 로얄젤리 허니믹스 6+2병 (총8병)CJ온스타일,CJ온스타일,식품
2025.04.29,01:00,BNR17다이어트유산균(건강식품)현대홈쇼핑,현대홈쇼핑,식품
2025.04.29,01:00,[중용량2개더][매니아]닥터그루트 밀도케어 프로-대용량5개+중용량2개+트리트먼트1개홈앤쇼핑,홈앤쇼핑,화장품/미용
2025.04.29,01:00,가족 의성진 세척사과 4.5kg*1박스(부사)공영쇼핑,공영쇼핑,식품
2025.04.29,01:00,고업 액상 베르가못 샷 BPF 폴리페놀 10박스GS홈쇼핑,GS홈쇼핑,식품
2025.04.29,01:05,[삼성물산 공식수입] 숄(Scholl) 노엘 청키솔 여성 샌들롯데홈쇼핑,롯데홈쇼핑,패션잡화
2025.04.29,01:20,[릴리오] ○by 오일릴리 25SS 캐시미어 시퀸 니트 자켓 롯데원티비,롯데원티비,패션의류
2025.04.29,01:31,[방송에서만 1박스 더+앱할인 10프로]원데이 알파시클로덱스트린 알파CD18+1박스(3g*14포*19박스) | 원산지 : 상품정보 참조SK스토아,SK스토아,식품
2025.04.29,01:38,[영뷰티] 김소형 본초순백 비단쌀 선크림 세트 (50ml*5개+15ml*1)신세계쇼핑,신세계쇼핑,화장품/미용
2025.04.29,01:39,"SJ와니 양가죽 미디움 주얼백 1종[런칭 가격 89,000원]GS홈쇼핑 마이샵",GS홈쇼핑 마이샵,패션잡화
