date,time,broad_info,company_info,category
2025.04.28,00:00,보험NS홈쇼핑,NS홈쇼핑,여가/생활편의
2025.04.28,00:20,보험 2부NS홈쇼핑,NS홈쇼핑,여가/생활편의
2025.04.28,00:23,김치1NS홈쇼핑 샵플러스,NS홈쇼핑 샵플러스,식품
2025.04.28,00:27,[방송에서만] 원핏 제로파우더 알파CD 12박스(240포)(p)신세계쇼핑,신세계쇼핑,식품
2025.04.28,00:31,원핏 제로파우더 12박스 | 원산지 : 상품정보 참조SK스토아,SK스토아,식품
2025.04.28,00:32,[방송에서만 세일] 안국약품 식물성 멜라토닌 함유 멜라굿나잇 (12개월분)쇼핑엔티,쇼핑엔티,식품
2025.04.28,00:38,버커루 25SS 최신상 여성 크롭 데님 셔츠 2종 세트GS홈쇼핑 마이샵,GS홈쇼핑 마이샵,패션의류
2025.04.28,00:40,[원앙에프앤비] 원앙 참신한 마늘불닭발 150g X 8팩롯데원티비,롯데원티비,식품
2025.04.28,00:40,흥국화재_흥Good 모두담은 암보험 PLUS(사은품: 포트메리온5P)KT알파쇼핑,KT알파쇼핑,여가/생활편의
2025.04.28,00:40,보험 3부NS홈쇼핑,NS홈쇼핑,여가/생활편의
2025.04.28,00:55,빽쿡 LA갈비 400g* 7팩/2.8kgCJ온스타일 플러스,CJ온스타일 플러스,식품
2025.04.28,01:00,강릉솔라뷰호텔/메리퀸차렵침구(여행/리빙)현대홈쇼핑,현대홈쇼핑,여가/생활편의
2025.04.28,01:00,[LBL] 25SS 실크블렌디드 플라워 아플리케 가디건+하프니트 앙상블롯데홈쇼핑,롯데홈쇼핑,패션의류
2025.04.28,01:00,[24년수확] 김연도 오색현미16봉+홍미4봉공영쇼핑,공영쇼핑,식품
2025.04.28,01:00,[단독구성] 키오스킨 엘시스테인 멜라케어 라이트 업 선크림 50ml 4개+기미스틱 1개홈앤쇼핑,홈앤쇼핑,화장품/미용
2025.04.28,01:00,뉴트리디데이 트리플케어(241203)현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,식품
2025.04.28,01:00,SK__플리츠 텐셀 냉감 호텔베딩세트CJ온스타일,CJ온스타일,가구/인테리어
2025.04.28,01:00,주영엔에스 헤어콜라겐 인텐스 9박스+1박스 + 체험분7포GS홈쇼핑,GS홈쇼핑,식품
2025.04.28,01:00,히트상품 앵콜방송1부NS홈쇼핑,NS홈쇼핑,식품
2025.04.28,01:23,손질갑오징어1NS홈쇼핑 샵플러스,NS홈쇼핑 샵플러스,식품
2025.04.28,01:27,(NEW컬러) 송월타월 테리갤러리 순면 코마사 타월 10장+10장세트신세계쇼핑,신세계쇼핑,생활/건강
2025.04.28,01:30,[최초공개/방송에서만] 라비엘 아세로라 기미케어크림 5통홈앤쇼핑,홈앤쇼핑,화장품/미용
2025.04.28,01:31,(2만원최초인하)25SS 수트 셋업 4종SK스토아,SK스토아,패션의류
2025.04.28,01:31,블랭크 남성 다잉 면팬츠 3종쇼핑엔티,쇼핑엔티,패션의류
2025.04.28,01:38,[특가]끌레드벨 파워 리프팅팩 블랙에디션 단독 특가 (팩 5개+ 세럼+브러쉬) ⓝ신세계쇼핑,신세계쇼핑,화장품/미용
2025.04.28,01:39,자코모 브로스 3.5인 슈렁큰 천연면피 소가죽 소파 + 스툴GS홈쇼핑 마이샵,GS홈쇼핑 마이샵,가구/인테리어
2025.04.28,01:40,페츠모아 배변패드(250114)현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,생활/건강
2025.04.28,01:40,초초초특가! 이자녹스 셀리뉴 컨실링 쿠션 본품2+리필2+퍼프3KT알파쇼핑,KT알파쇼핑,화장품/미용
2025.04.28,01:55,바니스 뉴욕 조이 시스루 레이어드 티셔츠CJ온스타일 플러스,CJ온스타일 플러스,패션의류
2025.04.28,02:00,"[런칭가77,000][엘렌느] 25SS 쉬폰 티블라우스 4종홈앤쇼핑",홈앤쇼핑,패션의류
2025.04.28,02:00,해초미인국수1NS홈쇼핑 샵플러스,NS홈쇼핑 샵플러스,식품
2025.04.28,02:00,톤28 펩타시카 무농약 해남병풀 토너 250ml 1개GS홈쇼핑,GS홈쇼핑,화장품/미용
2025.04.28,02:00,히트상품 앵콜방송 2부NS홈쇼핑,NS홈쇼핑,식품
2025.04.28,02:00,[나인웨스트] 9x9 링클 페니 슬링백롯데홈쇼핑,롯데홈쇼핑,패션잡화
2025.04.28,02:00,[전국한우협회]한우먹는날 한우 암소 안심스테이크 110g x 10팩공영쇼핑,공영쇼핑,식품
2025.04.28,02:00,[공식수입정품] 아쉬(ASH) LUX 에어힐 스니커즈롯데원티비,롯데원티비,패션잡화
2025.04.28,02:05,까사렐 25SS 프렌치린넨100 하프슬리브 자켓CJ온스타일 플러스,CJ온스타일 플러스,패션의류
2025.04.28,02:11,보닌 로열 블루 남성 기초 패키지(스킨 4병+에멀젼 3병+쇼핑백 2매+무료체험분)SK스토아,SK스토아,화장품/미용
2025.04.28,02:11,공주부양 볼륨부스터 샴푸 매니아세트(500ml*6개+무료체험 30ml*2개)SK스토아,SK스토아,화장품/미용
2025.04.28,02:15,스케쳐스 25SS 여성 아치핏 메디테이션 샌들CJ온스타일 플러스,CJ온스타일 플러스,패션잡화
2025.04.28,02:20,Ai쇼핑쇼-에바큐브 쉬폰플리츠자켓/리플블라우스(250414)현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,패션의류
2025.04.28,02:25,[초특] NEW 아렌시아 아르티장 그린 떡솝 시즌2CJ온스타일,CJ온스타일,화장품/미용
2025.04.28,02:25,바니스 뉴욕 조이 시스루 레이어드 티셔츠CJ온스타일 플러스,CJ온스타일 플러스,패션의류
2025.04.28,02:25,Ai쇼핑쇼-에바큐브 사선블라우스/사선팬츠(250414)현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,패션의류
2025.04.28,02:30,다시보는 인기상품(재)현대홈쇼핑,현대홈쇼핑,패션잡화
2025.04.28,02:30,Ai쇼핑쇼-에바큐브 쉬폰플리츠자켓/리플블라우스(250414)현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,패션의류
2025.04.28,02:31,[쇼핑엔티 단독구성!!] 삼육 검은콩과 칼슘 + 삼육두유 (총 80팩)쇼핑엔티,쇼핑엔티,식품
2025.04.28,02:35,Ai쇼핑쇼-에바큐브 사선블라우스/사선팬츠(250414)현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,패션의류
2025.04.28,02:35,[정품 카무트][12박스] 뉴트리원 카무트 브랜드밀 효소 골드롯데홈쇼핑,롯데홈쇼핑,식품
2025.04.28,02:35,까사렐 25SS 프렌치린넨100 하프슬리브 자켓CJ온스타일 플러스,CJ온스타일 플러스,패션의류
2025.04.28,02:38,[특대패키지] NEW 성분에디터 2중 녹는실 리프팅 앰플 세트 (특대용량60ml*6+어플리케이터 6개)신세계쇼핑,신세계쇼핑,화장품/미용
2025.04.28,02:39,[LBL] ○25SS 프렌치슬리브 플리츠 탑 3종+캐미솔 1종롯데원티비,롯데원티비,패션의류
2025.04.28,02:40,Ai쇼핑쇼-에바큐브 쉬폰플리츠자켓/리플블라우스(250414)현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,패션의류
2025.04.28,02:40,(25년출시)_LG 오브제 워시콤보 스팀+미니워시 세탁건조기 FH25ESX 베이지 / FH25GSXGS홈쇼핑 마이샵,GS홈쇼핑 마이샵,디지털/가전
2025.04.28,02:41,[방송에서만 풀패키지] 매스티나 화이트매스틱 기미관리 특집방송KT알파쇼핑,KT알파쇼핑,화장품/미용
2025.04.28,02:44,[루메나] 1. 루메나 FAN CLASSIC 3 BLDC 서큘레이터롯데원티비,롯데원티비,디지털/가전
2025.04.28,02:45,삼성 AI QLED TV 43형 KQ43QF7AAFXKRGS홈쇼핑 마이샵,GS홈쇼핑 마이샵,디지털/가전
2025.04.28,02:45,스케쳐스 25SS 여성 아치핏 메디테이션 샌들CJ온스타일 플러스,CJ온스타일 플러스,패션잡화
2025.04.28,02:45,Ai쇼핑쇼-에바큐브 사선블라우스/사선팬츠(250414)현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,패션의류
2025.04.28,02:49,[LBL] ●25SS 프렌치슬리브 플리츠 탑 3종+캐미솔 1종롯데원티비,롯데원티비,패션의류
2025.04.28,02:50,Ai쇼핑쇼-에바큐브 쉬폰플리츠자켓/리플블라우스(250414)현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,패션의류
2025.04.28,02:50,(홈)(방송에서만)소유진  단백질 스테비아 커피 4박스(120포) + 사은품 전동컵홈앤쇼핑,홈앤쇼핑,식품
2025.04.28,02:51,캘빈클라인퍼포먼스 25SS 썸머 나일론스판 원피스 1종GS홈쇼핑 마이샵,GS홈쇼핑 마이샵,패션의류
2025.04.28,02:51,양평서울 한우해장국 700g x 8팩 | 원산지 : 상품정보 참조SK스토아,SK스토아,식품
2025.04.28,02:54,[루메나] 2. 루메나 FAN CLASSIC 3 BLDC 서큘레이터롯데원티비,롯데원티비,디지털/가전
2025.04.28,02:55,바니스 뉴욕 조이 시스루 레이어드 티셔츠CJ온스타일 플러스,CJ온스타일 플러스,패션의류
2025.04.28,02:55,Ai쇼핑쇼-에바큐브 사선블라우스/사선팬츠(250414)현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,패션의류
2025.04.28,02:56,스케쳐스 25SS 여성 온더고 메리제인 슬립온GS홈쇼핑 마이샵,GS홈쇼핑 마이샵,스포츠/레저
2025.04.28,02:59,[LBL] ◎25SS 프렌치슬리브 플리츠 탑 3종+캐미솔 1종롯데원티비,롯데원티비,패션의류
2025.04.28,03:00,[BATTUE] 에어리 블로썸 자켓 1종공영쇼핑,공영쇼핑,패션의류
2025.04.28,03:00,서리태1NS홈쇼핑 샵플러스,NS홈쇼핑 샵플러스,식품
2025.04.28,03:00,Ai쇼핑쇼-에바큐브 쉬폰플리츠자켓/리플블라우스(250414)현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,패션의류
2025.04.28,03:01,스위스알파인클럽 아틀라스 멀티 웨건세트(웨건+롤테이블+의자*2)GS홈쇼핑 마이샵,GS홈쇼핑 마이샵,스포츠/레저
2025.04.28,03:04,[루메나] 3. 루메나 FAN CLASSIC 3 BLDC 서큘레이터롯데원티비,롯데원티비,디지털/가전
2025.04.28,03:05,Ai쇼핑쇼-헌터 선글라스(250422)현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,패션잡화
2025.04.28,03:09,[LBL] ●25SS 프렌치슬리브 플리츠 탑 3종+캐미솔 1종롯데원티비,롯데원티비,패션의류
2025.04.28,03:10,Ai쇼핑쇼-에바큐브 사선블라우스/사선팬츠(250414)현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,패션의류
2025.04.28,03:10,브리엘 25SS 나일론 셔링 원피스 1종GS홈쇼핑,GS홈쇼핑,패션의류
2025.04.28,03:11,신안1956 두번구운 곱창김 10매 15봉 (총150매)GS홈쇼핑 마이샵,GS홈쇼핑 마이샵,식품
2025.04.28,03:14,[루메나] 2. 루메나 FAN CLASSIC 3 BLDC 서큘레이터롯데원티비,롯데원티비,디지털/가전
2025.04.28,03:15,[블라우풍트] ☆더블☆ 무선 이어폰 2세트(블랙+블랙/아이보리/퍼플) + 보조배터리 2세트(색상랜덤)롯데홈쇼핑,롯데홈쇼핑,디지털/가전
2025.04.28,03:15,Ai쇼핑쇼-헌터 선글라스(250422)현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,패션잡화
2025.04.28,03:19,[LBL] ○25SS 프렌치슬리브 플리츠 탑 3종+캐미솔 1종롯데원티비,롯데원티비,패션의류
2025.04.28,03:20,상생PGM-스칸디네이처 7존 매트리스(250114)▼세일가현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,가구/인테리어
2025.04.28,03:20,히트상품 앵콜방송3부NS홈쇼핑,NS홈쇼핑,식품
2025.04.28,03:24,[비비안 슬림핏] 수피마 브라팬티 5세트롯데원티비,롯데원티비,패션의류
2025.04.28,03:25,지스튜디오 24FW V넥 니트베스트탑 3종CJ온스타일,CJ온스타일,패션의류
2025.04.28,03:30,다시보는 인기상품(재)현대홈쇼핑,현대홈쇼핑,패션의류
2025.04.28,03:30,까사렐 25SS 프렌치린넨100 하프슬리브 자켓CJ온스타일 플러스,CJ온스타일 플러스,패션의류
2025.04.28,03:31,카무트 브랜드 밀 효소 골드 12개월분 | 원산지 : 상품정보 참조SK스토아,SK스토아,식품
2025.04.28,03:32,(25년출시)_LG 오브제 워시콤보 스팀+미니워시 세탁건조기 FH25ESX 베이지 / FH25GSXGS홈쇼핑 마이샵,GS홈쇼핑 마이샵,디지털/가전
2025.04.28,03:32,[방송에서만/최저가] 최신상 재클린스타일 살롱 퍼퓸볼류머 원장님패키지홈앤쇼핑,홈앤쇼핑,화장품/미용
2025.04.28,03:37,삼성 AI QLED TV 43형 KQ43QF7AAFXKRGS홈쇼핑 마이샵,GS홈쇼핑 마이샵,디지털/가전
2025.04.28,03:37,[핏테라]김문호 원장의 NEW 허리펴쇼핑엔티,쇼핑엔티,생활/건강
2025.04.28,03:40,슈리오1NS홈쇼핑 샵플러스,NS홈쇼핑 샵플러스,패션잡화
2025.04.28,03:40,스케쳐스 25SS 여성 아치핏 메디테이션 샌들CJ온스타일 플러스,CJ온스타일 플러스,패션잡화
2025.04.28,03:42,제이슨우 25SS 썸머 브리즈 링클프리 셋업 (재킷1종+팬츠1종)GS홈쇼핑 마이샵,GS홈쇼핑 마이샵,패션의류
2025.04.28,03:42,그레인온 골드 카무트 효소 12박스KT알파쇼핑,KT알파쇼핑,식품
2025.04.28,03:44,[피플오브더월드] ○25SS NEW 멜로우 체인 레더 숄더백롯데원티비,롯데원티비,패션의류
2025.04.28,03:45,[인터메조] 인터메조 25SS 남성 썸머 워셔블 수트 2세트롯데홈쇼핑,롯데홈쇼핑,패션의류
2025.04.28,03:47,코어 어센틱 25SS 썸머 폴로 니트 3종GS홈쇼핑 마이샵,GS홈쇼핑 마이샵,패션의류
2025.04.28,03:49,[루메나] 3. 루메나 FAN CLASSIC 3 BLDC 서큘레이터롯데원티비,롯데원티비,디지털/가전
2025.04.28,03:50,브리엘 25SS 점프수트 1종GS홈쇼핑,GS홈쇼핑,패션의류
2025.04.28,03:50,바니스 뉴욕 조이 시스루 레이어드 티셔츠CJ온스타일 플러스,CJ온스타일 플러스,패션의류
2025.04.28,03:50,다시보는 인기상품(재)현대홈쇼핑,현대홈쇼핑,생활/건강
2025.04.28,03:51,인지력개선 브레인 액티브 포스파티딜세린 12박스 | 원산지 : 상품정보 참조SK스토아,SK스토아,식품
2025.04.28,03:52,[2만원 세일]25SS 최신상 NEW베네핏 퓨징심리스 브라팬티 4세트GS홈쇼핑 마이샵,GS홈쇼핑 마이샵,패션의류
2025.04.28,03:54,[피플오브더월드] ●25SS NEW 멜로우 체인 레더 숄더백롯데원티비,롯데원티비,패션의류
2025.04.28,03:59,[루메나] 3. 루메나 FAN CLASSIC 3 BLDC 서큘레이터롯데원티비,롯데원티비,디지털/가전
2025.04.28,04:00,히트상품 앵콜방송4부NS홈쇼핑,NS홈쇼핑,식품
2025.04.28,04:00,까사렐 25SS 프렌치린넨100 하프슬리브 자켓CJ온스타일 플러스,CJ온스타일 플러스,패션의류
2025.04.28,04:04,[피플오브더월드] ◎25SS NEW 멜로우 체인 레더 숄더백롯데원티비,롯데원티비,패션의류
2025.04.28,04:09,"[런칭가49,900원→1만원↓]브이컷 아노락 시어점퍼신세계쇼핑",신세계쇼핑,패션의류
2025.04.28,04:09,"[런칭가:79,000원]○25SS 뉴 허그 자켓 3종롯데원티비",롯데원티비,패션의류
2025.04.28,04:10,2025 대저 농협 대저토마토(S-2S) 3kg*1박스 / 총 3kg 공영쇼핑,공영쇼핑,식품
2025.04.28,04:10,스케쳐스 25SS 여성 아치핏 메디테이션 샌들CJ온스타일 플러스,CJ온스타일 플러스,패션잡화
2025.04.28,04:10,다시보는 인기상품(재)현대홈쇼핑,현대홈쇼핑,생활/건강
2025.04.28,04:11,(24FW)(최다구성) 슬림핏 풀커버 밀착 거들팬티 11종 패키지SK스토아,SK스토아,패션의류
2025.04.28,04:13,캘빈클라인퍼포먼스 25SS 썸머 나일론스판 원피스 1종GS홈쇼핑 마이샵,GS홈쇼핑 마이샵,패션의류
2025.04.28,04:15,[초림단지묵] 콩국이 기가막혀Ⅱ 90g x 18팩롯데홈쇼핑,롯데홈쇼핑,식품
2025.04.28,04:18,스케쳐스 25SS 여성 온더고 메리제인 슬립온GS홈쇼핑 마이샵,GS홈쇼핑 마이샵,스포츠/레저
2025.04.28,04:20,아뜰리에마졸리 25SS 버뮤다 데님 팬츠 2종GS홈쇼핑,GS홈쇼핑,패션의류
2025.04.28,04:20,바니스 뉴욕 조이 시스루 레이어드 티셔츠CJ온스타일 플러스,CJ온스타일 플러스,패션의류
2025.04.28,04:23,스위스알파인클럽 아틀라스 멀티 웨건세트(웨건+롤테이블+의자*2)GS홈쇼핑 마이샵,GS홈쇼핑 마이샵,스포츠/레저
2025.04.28,04:30,[방송ⓝ] 김희애의 끌레드벨 물톡크림 특가구성 신세계쇼핑,신세계쇼핑,화장품/미용
2025.04.28,04:30,까사렐 25SS 프렌치린넨100 하프슬리브 자켓CJ온스타일 플러스,CJ온스타일 플러스,패션의류
2025.04.28,04:32,[보디가드] 단독! 25SS 남성 COOL메쉬 드로즈 10종KT알파쇼핑,KT알파쇼핑,패션의류
2025.04.28,04:33,완도보이 자숙손질전복 2미 6팩 총12미 600g 내외GS홈쇼핑 마이샵,GS홈쇼핑 마이샵,식품
2025.04.28,04:35,바이온텍 알칼리 이온수기 CJ온스타일,CJ온스타일,여가/생활편의
2025.04.28,04:36,[빅히트최신상/텐텐]25SS 푸마 기능성 남성 멀티팬츠 3종쇼핑엔티,쇼핑엔티,패션의류
2025.04.28,04:40,팔레오 맥주효모 비오틴(250313)▼세일현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,식품
2025.04.28,04:40,★25SS최신상★세컨스킨 풀커버 데일리 패키지CJ온스타일 플러스,CJ온스타일 플러스,패션의류
2025.04.28,04:41,앤클라인1NS홈쇼핑 샵플러스,NS홈쇼핑 샵플러스,패션의류
2025.04.28,04:42,(방송에서만 사은품) 실내건조케어 쉬슬러 에이프릴 액체세제 12통+섬유유연제 4팩홈앤쇼핑,홈앤쇼핑,생활/건강
2025.04.28,04:45,[퓨라셀미] ○ 퓨라셀미 프락셔널 레이저 미용기기 렌탈롯데홈쇼핑,롯데홈쇼핑,여가/생활편의
2025.04.28,04:49,[피플오브더월드] ○25SS NEW 멜로우 체인 레더 숄더백롯데원티비,롯데원티비,패션의류
2025.04.28,04:50,스케쳐스 25SS 여성 아치핏 메디테이션 샌들CJ온스타일 플러스,CJ온스타일 플러스,패션잡화
2025.04.28,04:50,GGPX 25SS 드랍숄더 아트웍 티셔츠 5종GS홈쇼핑,GS홈쇼핑,패션의류
2025.04.28,04:51,25SS 선염 메모리 트렌치점퍼SK스토아,SK스토아,패션의류
2025.04.28,04:54,[게스 언더웨어] 24FW 여성 울트라 소프트 드로즈 6종 패키지롯데원티비,롯데원티비,패션의류
2025.04.28,04:59,제이슨우 25SS 썸머 브리즈 링클프리 셋업 (재킷1종+팬츠1종)GS홈쇼핑 마이샵,GS홈쇼핑 마이샵,패션의류
2025.04.28,05:00,★25SS최신상★세컨스킨 풀커버 데일리 패키지CJ온스타일 플러스,CJ온스타일 플러스,패션의류
2025.04.28,05:00,2024 강화섬쌀 나들미 (특등급) 10kg*2포 / 총20kg공영쇼핑,공영쇼핑,식품
2025.04.28,05:00,하루야채데일리NS홈쇼핑,NS홈쇼핑,식품
2025.04.28,05:00,다시보는 인기상품(재)현대홈쇼핑,현대홈쇼핑,식품
2025.04.28,05:04,코어 어센틱 25SS 썸머 폴로 니트 3종GS홈쇼핑 마이샵,GS홈쇼핑 마이샵,패션의류
2025.04.28,05:09,라삐아프 25SS 테이퍼드팬츠 3종GS홈쇼핑 마이샵,GS홈쇼핑 마이샵,패션의류
2025.04.28,05:14,플루 퍼퓸드 스파 스크럽 바디워시 8병 방송구성GS홈쇼핑 마이샵,GS홈쇼핑 마이샵,화장품/미용
2025.04.28,05:15,"[폴앤조] (런칭가 69,000원!) 25NEW 울캐시미어 블렌딩 홀가먼트 숄 가디건롯데홈쇼핑",롯데홈쇼핑,패션의류
2025.04.28,05:15,완도 손질 냉동전복CJ온스타일 플러스,CJ온스타일 플러스,식품
2025.04.28,05:20,제이코닉 플리츠 밴딩팬츠(250415)현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,패션의류
2025.04.28,05:29,"[1촌1명품]숙성 귀리쌀,숙성현미세트CJ온스타일",CJ온스타일,식품
2025.04.28,05:30,4/18-5/7 p[반값세일/8개월] 골드 카무트 효소 30포 x 8박스신세계쇼핑,신세계쇼핑,식품
2025.04.28,05:30,[캘빈클라인스포츠] 25SS 여성 상의 3종 세트 (자켓+긴팔티+반팔티)롯데홈쇼핑,롯데홈쇼핑,패션의류
2025.04.28,05:30,별담화 황매실원액 1000ml 3병GS홈쇼핑,GS홈쇼핑,식품
2025.04.28,05:30,[방송에서만] 유기농 비너지대마종자유 12박스 + 6박스 (총 18개월분)홈앤쇼핑,홈앤쇼핑,식품
2025.04.28,05:31,[1+1]미로 12인치 무소음 BLDC 팬 HM12SFSK스토아,SK스토아,디지털/가전
2025.04.28,05:31,(최종가)(단독)발렌티노크리스티 에어셀 런닝 드로즈 세트(10종)SK스토아,SK스토아,패션의류
2025.04.28,05:33,[방송혜택] 비너지 대마종자유 플러스 12개월분 + 6개월분KT알파쇼핑,KT알파쇼핑,식품
2025.04.28,05:35,[피플오브더월드] ●25SS NEW 멜로우 체인 레더 숄더백롯데원티비,롯데원티비,패션의류
2025.04.28,05:35,김소형원방 진삼본침향환 3박스(3.75g x 180환)GS홈쇼핑 마이샵,GS홈쇼핑 마이샵,식품
2025.04.28,05:36,[1등염색제] 최신상 모나리스타 컬러크림 + 핑거볼륨쇼핑엔티,쇼핑엔티,패션의류
2025.04.28,05:40,[15박스]뉴트리원 루테인 지아잔틴 GR 164 15박스롯데원티비,롯데원티비,식품
2025.04.28,05:40,원데이알파시클로덱스트린NS홈쇼핑,NS홈쇼핑,식품
2025.04.28,05:41,마담엘레강스1NS홈쇼핑 샵플러스,NS홈쇼핑 샵플러스,패션의류
2025.04.28,05:45,[1개 통째로 체험분] 동국제약 마데카 수딩 선스틱 5개CJ온스타일 플러스,CJ온스타일 플러스,화장품/미용
2025.04.28,06:00,누리아이안구건조증치료기기(리빙)현대홈쇼핑,현대홈쇼핑,생활/건강
2025.04.28,06:00,바이탈핏 커브 마사지건 공영쇼핑,공영쇼핑,생활/건강
2025.04.28,06:00,마담4060 셔링레이스 앙상블(250401)현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,패션의류
2025.04.28,06:00,뉴온 시서스 라인 다이어트 8박스GS홈쇼핑,GS홈쇼핑,식품
2025.04.28,06:00,NEW비에날씬프로 다이어트 유산균 9개월분+슬림플러스28포CJ온스타일,CJ온스타일,식품
2025.04.28,06:00,[12개월] 1200 12박스 (900mg*60정*12박스)롯데홈쇼핑,롯데홈쇼핑,식품
2025.04.28,06:15,폴리코사놀5 12박스(12개월분)홈앤쇼핑,홈앤쇼핑,식품
2025.04.28,06:20,"[방송중최대혜택] 시즌6 테크 한장빨래 효소캡처 라벤더 일반/드럼 세탁세제 13팩 (195매, 무료체험 1팩포함)+퐁퐁 1.2L+홈스타 맥스 후레쉬 욕실용 500ml 롯데원티비",롯데원티비,생활/건강
2025.04.28,06:30,닥터파이토구강유산균NS홈쇼핑,NS홈쇼핑,식품
2025.04.28,06:31,+수려한 글루타치온 기미 잡티 집중케어 크림 60ml 7개 + 광채 마스크 1박스SK스토아,SK스토아,화장품/미용
2025.04.28,06:33,25SS 새미보이트 여성 쿨인견 세미홀가 니트 4종KT알파쇼핑,KT알파쇼핑,패션의류
2025.04.28,06:35,25SS 립밤 플리츠 셋업 2종쇼핑엔티,쇼핑엔티,패션의류
2025.04.28,06:36,펠틱스 25SS 여성 썸머 텐션 하프 셋업 (반팔2종+반바지2종)GS홈쇼핑 마이샵,GS홈쇼핑 마이샵,스포츠/레저
2025.04.28,06:40,USPA 에어리 패커블 점퍼(250406)_재편집/여성메인현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,스포츠/레저
2025.04.28,06:41,덴프스혈당케어프로1NS홈쇼핑 샵플러스,NS홈쇼핑 샵플러스,식품
2025.04.28,07:00,[스와니브] ★방송에서만★ 스와니브 아이크림 30ml * 10개  + 무료체험분 30ml  (총 아이크림 11개)롯데원티비,롯데원티비,화장품/미용
2025.04.28,07:15,(무)흥국생명다재다능1540보험GS홈쇼핑,GS홈쇼핑,
2025.04.28,07:15,클랍블루마스크(뷰티브랜드)현대홈쇼핑,현대홈쇼핑,화장품/미용
2025.04.28,07:15,[메시제이] 크링클 인견 셔츠재킷 3종공영쇼핑,공영쇼핑,패션의류
2025.04.28,07:15,"종근당건강 락토핏 유산균 코어 맥스 6통(1통,2개월분)+ 4개월분(1통,1개월분)홈앤쇼핑",홈앤쇼핑,식품
2025.04.28,07:15,[와이즈바이옴] ★쇼핑백특별구성[패밀리]유한양행 케어 당큐락 9박스 (190mg*30캡슐*9박스)+쇼핑백 1장롯데홈쇼핑,롯데홈쇼핑,식품
2025.04.28,07:15,16주관리/더블]VT PDRN리들샷 두피앰플+마사지기+체험분+쇼핑백CJ온스타일,CJ온스타일,화장품/미용
2025.04.28,07:20,김정문알로에 안티에이징 크림(250328)현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,화장품/미용
2025.04.28,07:25,닥터파이토파이토블락NS홈쇼핑,NS홈쇼핑,식품
