date,time,broad_info,company_info,category
2025.04.15,00:05,[엠씨스퀘어] §바이탈슬립 듀얼케어 1개 구성롯데홈쇼핑,롯데홈쇼핑,디지털/가전
2025.04.15,00:34,DB손해보험 (무) 펫블리 반려견 보험KT알파쇼핑,KT알파쇼핑,여가/생활편의
2025.04.15,00:37,[박소현 레몬즙](방송에서만 4박스 더!)[홀베리/16박스]1일1레몬 리얼착즙 레몬즙 16박스 (총 224포)신세계쇼핑,신세계쇼핑,식품
2025.04.15,00:38,[2만원 세일]25SS 최신상 NEW베네핏 퓨징심리스 브라팬티 4세트GS홈쇼핑 마이샵,GS홈쇼핑 마이샵,패션의류
2025.04.15,00:40,[상담예약] 비에스소닉 음파운동기 렌탈롯데원티비,롯데원티비,여가/생활편의
2025.04.15,00:43,숯불가득닭발1NS홈쇼핑 샵플러스,NS홈쇼핑 샵플러스,식품
2025.04.15,00:45,[2만원 SALE/방송에서만]최신상 코코도르 플라워에디션 디퓨저CJ온스타일 플러스,CJ온스타일 플러스,화장품/미용
2025.04.15,00:51,[반값세일 + 보조배터리 사은품] 블라우풍트 공기전도 무선 이어폰쇼핑엔티,쇼핑엔티,디지털/가전
2025.04.15,01:00,팔레오 콘드로이친(230724)_자막방송현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,식품
2025.04.15,01:00,히트상품 앵콜방송1부NS홈쇼핑,NS홈쇼핑,식품
2025.04.15,01:00,[마누카꿀15+] 뉴질랜드 NZMA 마누카 꿀 & 녹용6병+로젠지3통CJ온스타일,CJ온스타일,식품
2025.04.15,01:00,닥터린멜라바인(건강식품)현대홈쇼핑,현대홈쇼핑,식품
2025.04.15,01:00,[방송에서만 18박스+1박스 더]데이즈온 원데이 알파시클로 덱스트린홈앤쇼핑,홈앤쇼핑,식품
2025.04.15,01:00,[제주하씸] 제주 특등급 천혜향 3kg공영쇼핑,공영쇼핑,식품
2025.04.15,01:00,홀베리 100% 유기농 레몬즙 14포*6+1박스(98포)GS홈쇼핑,GS홈쇼핑,식품
2025.04.15,01:05,[위바이옴] ○[더블] NEW 두뇌엔 닥터 PS 맥스 (2g*30포*6박스)롯데홈쇼핑,롯데홈쇼핑,식품
2025.04.15,01:31,[반값세일 + 보조배터리 사은품] 블라우풍트 공기전도 무선 이어폰쇼핑엔티,쇼핑엔티,디지털/가전
2025.04.15,01:31,[더블]두뇌엔닥터PS맥스(6개월분) | 원산지 : 상품정보 참조SK스토아,SK스토아,식품
2025.04.15,01:34,[방송에서만]  직수입! 엠디래쉬팩터 속눈썹 영양제 1+1 특집KT알파쇼핑,KT알파쇼핑,화장품/미용
2025.04.15,01:38,(25SS/최신상!) 더플레오 호텔컬렉션 도비 자카드 워싱 베딩세트 (SK)신세계쇼핑,신세계쇼핑,가구/인테리어
2025.04.15,01:39,[쿡시]고단백 쌀국수(멸치맛+얼큰맛 총22개)GS홈쇼핑 마이샵,GS홈쇼핑 마이샵,식품
2025.04.15,01:40,애플트리김약사네 혈당앤슬림(240816)_기존가현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,식품
2025.04.15,01:43,손질갑오징어1NS홈쇼핑 샵플러스,NS홈쇼핑 샵플러스,식품
2025.04.15,01:45,★수정샵★ [HUNTER] 25SS 헌터 크루즈 선글라스 HTB13CJ온스타일 플러스,CJ온스타일 플러스,패션잡화
2025.04.15,01:51,슈리오  키높이 어반 스니커즈쇼핑엔티,쇼핑엔티,패션잡화
2025.04.15,01:55,SK 고밀도 텐셀100% 침구세트CJ온스타일 플러스,CJ온스타일 플러스,가구/인테리어
2025.04.15,02:00,다시보는 인기상품(재)현대홈쇼핑,현대홈쇼핑,화장품/미용
2025.04.15,02:00,[케이수] 25SS 트위드 브로치 자켓 1종홈앤쇼핑,홈앤쇼핑,패션의류
2025.04.15,02:00,손질갑오징어2NS홈쇼핑 샵플러스,NS홈쇼핑 샵플러스,식품
2025.04.15,02:00,LK_25년  삶아쓰는 고밀도 로얄 퍼케일 침구세트CJ온스타일,CJ온스타일,가구/인테리어
2025.04.15,02:00,히트상품 앵콜방송 2부NS홈쇼핑,NS홈쇼핑,식품
2025.04.15,02:00,"[베네통스포츠] (최초가 169,000원)[베네통스포츠] 25SS 여성 카라 니트 3종롯데홈쇼핑",롯데홈쇼핑,패션의류
2025.04.15,02:00,"[로던] ○(런칭가 79,000원) 24Summer 여성 헤리티지 폴로셔츠 3종롯데원티비",롯데원티비,패션의류
2025.04.15,02:00,김정배명인새우젓(육젓)500g×4통공영쇼핑,공영쇼핑,식품
2025.04.15,02:05,도이캄 100% 착즙 토마토 주스 (200ml x 72팩)CJ온스타일 플러스,CJ온스타일 플러스,식품
2025.04.15,02:09,안나수이 선글라스 AS1193-1GS홈쇼핑 마이샵,GS홈쇼핑 마이샵,패션잡화
2025.04.15,02:11,(25SS)(남여공용) CKS 시그니처 셋업 3종 패키지 (3컬러 중 택 1)SK스토아,SK스토아,패션의류
2025.04.15,02:15,더엣지 25SS 린넨 블렌디드 반팔 자켓CJ온스타일 플러스,CJ온스타일 플러스,패션의류
2025.04.15,02:19,서령 곤지암 한우소머리곰탕 600g 12팩GS홈쇼핑 마이샵,GS홈쇼핑 마이샵,식품
2025.04.15,02:19,[6박스] 악마다이어트 슬림컷 젤리 레몬맛 (18g x 14포 x 6박스)롯데원티비,롯데원티비,식품
2025.04.15,02:20,아델로 셋업(250327)_5분편집현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,패션의류
2025.04.15,02:25,Ai쇼핑쇼-블루코마티 람프시 로퍼(250409)현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,패션잡화
2025.04.15,02:25,★수정샵★ [HUNTER] 25SS 헌터 크루즈 선글라스 HTB13CJ온스타일 플러스,CJ온스타일 플러스,패션잡화
2025.04.15,02:30,25SS 데님원피스 여성용CJ온스타일 플러스,CJ온스타일 플러스,패션의류
2025.04.15,02:30,아델로 셋업(250327)_5분편집현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,패션의류
2025.04.15,02:30,[골드카무트]  KAMUT 효소 30포*12박스롯데홈쇼핑,롯데홈쇼핑,식품
2025.04.15,02:34,방송에서만 경품찬스! 프롬더스킨 링클 리프팅 패치 더블구성(60회관리분)KT알파쇼핑,KT알파쇼핑,화장품/미용
2025.04.15,02:35,Ai쇼핑쇼-블루코마티 람프시 로퍼(250409)현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,패션잡화
2025.04.15,02:35,SK 고밀도 텐셀100% 침구세트CJ온스타일 플러스,CJ온스타일 플러스,가구/인테리어
2025.04.15,02:38,[초특가] 엘르 양말(10종)+압박밴드(2종)+수납함(2종)신세계쇼핑,신세계쇼핑,패션잡화
2025.04.15,02:40,[프리마베라1980] 프리미엄 뱀부 3겹티슈 휴지 12롤X4팩GS홈쇼핑 마이샵,GS홈쇼핑 마이샵,생활/건강
2025.04.15,02:40,영산포홍어1NS홈쇼핑 샵플러스,NS홈쇼핑 샵플러스,식품
2025.04.15,02:40,아델로 셋업(250327)_5분편집현대홈쇼핑 플러스샵,현대홈쇼핑 플러스샵,패션의류
2025.04.15,02:45,도이캄 100% 착즙 토마토 주스 (200ml x 72팩)CJ온스타일 플러스,CJ온스타일 플러스,식품
2025.04.15,02:45,ESCADA [최신상] 에센셜 럭셔리 퓨징브라 4세트GS홈쇼핑 마이샵,GS홈쇼핑 마이샵,패션의류
